model,task,baseline,availability_prompt,parameter_only,state_prompt,missing_guard,argument_validator,validator_guard,full_state_aware,oracle_empty_turn
doubao,multi_turn_miss_func_26,1,1,0,1,0,1,1,0,0
doubao,multi_turn_miss_func_21,3,5,4,2,3,2,4,0,2
haiku,multi_turn_miss_func_3,1,3,0,1,0,0,1,0,3
gpt4o-mini,multi_turn_miss_func_29,0,5,0,0,0,0,0,0,5
doubao,multi_turn_miss_func_7,0,3,0,0,0,0,0,0,5
doubao,multi_turn_miss_func_23,0,2,0,0,0,0,0,0,5
doubao,multi_turn_miss_func_20,0,5,0,0,0,0,0,0,4
doubao,multi_turn_miss_func_17,0,5,0,0,0,0,0,0,4
doubao,multi_turn_miss_func_13,0,2,0,0,0,0,0,0,5
doubao,multi_turn_miss_func_12,0,5,0,0,1,0,1,0,5
gpt4o-mini,multi_turn_miss_func_20,0,0,0,0,0,0,1,0,0
doubao,multi_turn_miss_func_11,1,5,0,0,0,0,0,0,5
