slice,arm,repairs,baseline_failures,valid_records,successes,provider_errors
missing_parameter,baseline,0,41,88,5,2
missing_parameter,parameter_only,2,41,88,8,2
missing_parameter,state_prompt,2,41,90,5,0
missing_parameter,missing_guard,8,41,86,14,4
missing_parameter,argument_validator,2,41,90,7,0
missing_parameter,validator_guard,7,41,89,12,1
missing_parameter,full_state_aware,7,41,89,11,1
missing_function,baseline,0,84,84,0,6
missing_function,availability_prompt,2,84,83,2,7
missing_function,full_state_aware,1,84,87,1,3
missing_function,availability_full,4,84,86,4,4
missing_function,oracle_guard,40,84,83,42,7
