model_name,task_id,n_min,baseline,missing_guard,validator_guard,full_state_aware,baseline_valid,missing_guard_valid,validator_guard_valid,full_state_aware_valid,full_advantage,simple_match_or_beats_full,full_unstable
Doubao2.1,multi_turn_miss_param_11,2,0,0,0,0,3,3,3,2,0,1,0
Doubao2.1,multi_turn_miss_param_12,3,0,0,0,1,3,3,3,3,1,0,1
Doubao2.1,multi_turn_miss_param_13,3,0,0,0,0,3,3,3,3,0,1,0
Doubao2.1,multi_turn_miss_param_14,3,0,3,3,2,3,3,3,3,0,1,1
Doubao2.1,multi_turn_miss_param_17,2,0,0,0,0,2,3,3,3,0,1,0
Doubao2.1,multi_turn_miss_param_20,3,0,0,0,0,3,3,3,3,0,1,0
Doubao2.1,multi_turn_miss_param_22,3,0,0,0,0,3,3,3,3,0,1,0
Doubao2.1,multi_turn_miss_param_23,3,0,2,0,0,3,3,3,3,0,1,0
Doubao2.1,multi_turn_miss_param_24,3,0,0,0,0,3,3,3,3,0,1,0
Doubao2.1,multi_turn_miss_param_27,3,0,0,0,0,3,3,3,3,0,1,0
Doubao2.1,multi_turn_miss_param_5,3,0,0,1,0,3,3,3,3,0,1,0
Doubao2.1,multi_turn_miss_param_7,1,0,3,3,2,1,3,3,2,0,1,0
Doubao2.1,multi_turn_miss_param_8,2,0,3,2,3,3,3,2,3,0,1,0
DeepSeekV4,multi_turn_miss_param_11,3,0,0,0,0,3,3,3,3,0,1,0
DeepSeekV4,multi_turn_miss_param_12,3,0,0,0,0,3,3,3,3,0,1,0
DeepSeekV4,multi_turn_miss_param_13,3,0,0,0,0,3,3,3,3,0,1,0
DeepSeekV4,multi_turn_miss_param_14,3,0,3,3,3,3,3,3,3,0,1,0
DeepSeekV4,multi_turn_miss_param_15,3,0,0,0,0,3,3,3,3,0,1,0
DeepSeekV4,multi_turn_miss_param_17,3,0,0,0,0,3,3,3,3,0,1,0
DeepSeekV4,multi_turn_miss_param_20,3,0,0,0,0,3,3,3,3,0,1,0
DeepSeekV4,multi_turn_miss_param_21,3,0,0,1,0,3,3,3,3,0,1,0
DeepSeekV4,multi_turn_miss_param_23,3,0,0,0,0,3,3,3,3,0,1,0
DeepSeekV4,multi_turn_miss_param_24,3,0,0,0,0,3,3,3,3,0,1,0
DeepSeekV4,multi_turn_miss_param_27,3,0,0,0,0,3,3,3,3,0,1,0
DeepSeekV4,multi_turn_miss_param_6,3,0,0,0,0,3,3,3,3,0,1,0
DeepSeekV4,multi_turn_miss_param_7,3,3,3,3,3,3,3,3,3,0,1,0
Qwen3.7+,multi_turn_miss_param_1,3,0,3,2,2,3,3,3,3,0,1,1
Qwen3.7+,multi_turn_miss_param_11,3,0,0,0,0,3,3,3,3,0,1,0
Qwen3.7+,multi_turn_miss_param_12,3,1,0,0,1,3,3,3,3,0,1,1
Qwen3.7+,multi_turn_miss_param_13,3,0,0,0,0,3,3,3,3,0,1,0
Qwen3.7+,multi_turn_miss_param_14,3,0,3,3,2,3,3,3,3,0,1,1
Qwen3.7+,multi_turn_miss_param_15,3,0,0,0,0,3,3,3,3,0,1,0
Qwen3.7+,multi_turn_miss_param_17,2,0,0,1,0,3,2,3,3,0,1,0
Qwen3.7+,multi_turn_miss_param_20,3,0,0,0,0,3,3,3,3,0,1,0
Qwen3.7+,multi_turn_miss_param_21,3,2,3,3,2,3,3,3,3,0,1,1
Qwen3.7+,multi_turn_miss_param_23,3,0,0,0,0,3,3,3,3,0,1,0
Qwen3.7+,multi_turn_miss_param_24,3,0,0,0,0,3,3,3,3,0,1,0
Qwen3.7+,multi_turn_miss_param_25,3,0,0,0,0,3,3,3,3,0,1,0
Qwen3.7+,multi_turn_miss_param_27,3,0,0,0,0,3,3,3,3,0,1,0
Qwen3.7+,multi_turn_miss_param_5,3,0,1,0,0,3,3,3,3,0,1,0
Qwen3.7+,multi_turn_miss_param_8,3,0,3,2,1,3,3,3,3,0,1,1
