sample_id,domain,model,task_id,standard,full_progress,n_standard,n_full_progress,standard_rate,full_progress_rate,standard_any_success,standard_stable_failure,standard_unstable,standard_stable_success,full_any_success,full_unstable,standard_rate_beats_full,full_rate_beats_standard,rates_tie
E18-TAU2-REGRESSION-001,airline,openai/deepseek/deepseek-v4-pro,12,4,5,5,5,0.8000,1.0000,1,0,1,0,1,0,0,1,0
E18-TAU2-REGRESSION-002,retail,openai/bytedance/doubao-seed-2-1-pro,11,2,2,5,5,0.4000,0.4000,1,0,1,0,1,1,0,0,1
E18-TAU2-REGRESSION-003,retail,openai/bytedance/doubao-seed-2-1-pro,14,3,3,5,5,0.6000,0.6000,1,0,1,0,1,1,0,0,1
E18-TAU2-REGRESSION-004,retail,openai/bytedance/doubao-seed-2-1-pro,15,5,5,5,5,1.0000,1.0000,1,0,0,1,1,0,0,0,1
E18-TAU2-REGRESSION-005,retail,openai/bytedance/doubao-seed-2-1-pro,6,1,1,5,5,0.2000,0.2000,1,0,1,0,1,1,0,0,1
E18-TAU2-REGRESSION-006,retail,openai/bytedance/doubao-seed-2-1-pro,8,4,0,5,5,0.8000,0.0000,1,0,1,0,0,0,1,0,0
E18-TAU2-REGRESSION-007,retail,openai/deepseek/deepseek-v4-pro,13,5,5,5,5,1.0000,1.0000,1,0,0,1,1,0,0,0,1
E18-TAU2-REGRESSION-008,retail,openai/deepseek/deepseek-v4-pro,14,4,5,5,5,0.8000,1.0000,1,0,1,0,1,0,0,1,0
E18-TAU2-REGRESSION-009,retail,openai/deepseek/deepseek-v4-pro,5,1,3,5,5,0.2000,0.6000,1,0,1,0,1,1,0,1,0
E18-TAU2-REGRESSION-010,retail,openai/deepseek/deepseek-v4-pro,6,4,3,5,5,0.8000,0.6000,1,0,1,0,1,1,1,0,0
E18-TAU2-REGRESSION-011,retail,openai/qwen/qwen3.7-plus,0,4,3,5,5,0.8000,0.6000,1,0,1,0,1,1,1,0,0
E18-TAU2-REGRESSION-012,retail,openai/qwen/qwen3.7-plus,5,0,0,5,5,0.0000,0.0000,0,1,0,0,0,0,0,0,1
E18-TAU2-REGRESSION-013,telecom,openai/bytedance/doubao-seed-2-1-pro,[mobile_data_issue]data_mode_off[PERSONA:None],5,4,5,5,1.0000,0.8000,1,0,0,1,1,1,1,0,0
E18-TAU2-REGRESSION-014,telecom,openai/deepseek/deepseek-v4-pro,[mms_issue]bad_wifi_calling[PERSONA:Easy],0,0,5,5,0.0000,0.0000,0,1,0,0,0,0,0,0,1
E18-TAU2-REGRESSION-015,telecom,openai/deepseek/deepseek-v4-pro,[mms_issue]break_app_sms_permission[PERSONA:None],0,0,5,5,0.0000,0.0000,0,1,0,0,0,0,0,0,1
E18-TAU2-REGRESSION-016,telecom,openai/deepseek/deepseek-v4-pro,[mobile_data_issue]data_mode_off[PERSONA:None],5,2,5,5,1.0000,0.4000,1,0,0,1,1,1,1,0,0
E18-TAU2-REGRESSION-017,telecom,openai/deepseek/deepseek-v4-pro,[mobile_data_issue]data_saver_mode_on[PERSONA:Easy],1,2,5,5,0.2000,0.4000,1,0,1,0,1,1,0,1,0
E18-TAU2-REGRESSION-018,telecom,openai/qwen/qwen3.7-plus,[mobile_data_issue]data_mode_off[PERSONA:None],5,5,5,5,1.0000,1.0000,1,0,0,1,1,0,0,0,1
