domain,model,task_id,standard,policy,react,n,react_repairs_standard_failure,react_full_advantage,simple_match_or_beats_react,react_unstable,strict_stable_react_only
airline,openai_openai_gpt-4o-mini,0,2,5,4,5,0,0,1,1,0
airline,openai_openai_gpt-4o-mini,1,3,3,1,5,0,0,1,1,0
airline,openai_openai_gpt-4o-mini,2,1,1,1,5,0,0,1,1,0
airline,openai_qwen_qwen-turbo,0,2,0,5,5,0,1,0,0,0
airline,openai_qwen_qwen-turbo,1,3,3,3,5,0,0,1,1,0
airline,openai_qwen_qwen-turbo,2,5,3,3,5,0,0,1,1,0
retail,openai_openai_gpt-4o-mini,0,4,2,2,5,0,0,1,1,0
retail,openai_openai_gpt-4o-mini,1,0,2,2,5,1,0,1,1,0
retail,openai_qwen_qwen-turbo,0,1,0,0,5,0,0,1,0,0
retail,openai_qwen_qwen-turbo,1,1,2,1,5,0,0,1,1,0
